filename,volume_rate(%),duration(s),memory(KB)
br01_087.json,88.11,0.001,126
br01_088.json,79.04,0.002,145
br01_089.json,81.89,0.001,125
br01_090.json,72.40,0.001,121
br01_091.json,89.48,0.010,226
br01_092.json,81.85,0.001,120
br01_093.json,85.92,0.001,128
br01_094.json,83.30,0.003,154
br01_095.json,76.75,0.001,158
br01_096.json,86.61,0.003,188
br01_097.json,87.33,0.002,159
br01_098.json,76.88,0.002,143
br01_099.json,83.50,0.003,169
br01_100.json,77.98,0.006,210
br02_001.json,79.18,0.001,117
br02_002.json,87.50,0.001,139
br02_003.json,84.29,0.003,179
br02_004.json,82.46,0.007,203
br02_005.json,81.08,0.001,141
br02_006.json,87.89,0.002,163
br02_007.json,80.24,0.003,179
br02_008.json,79.47,0.001,145
br02_009.json,81.13,0.001,142
br02_010.json,86.19,0.004,184
br02_011.json,74.75,0.001,126
br02_012.json,80.77,0.001,120
br02_013.json,90.76,0.006,221
br02_014.json,78.89,0.001,126
br02_015.json,84.09,0.002,148
br02_016.json,86.49,0.002,177
br02_017.json,85.41,0.001,138
br02_018.json,81.93,0.001,129
br02_019.json,86.76,0.002,163
br02_020.json,84.31,0.001,143
br02_021.json,82.80,0.001,119
br02_022.json,80.61,0.001,130
br02_023.json,62.42,0.001,143
br02_024.json,77.92,0.001,125
br02_025.json,83.95,0.002,169
br02_026.json,86.57,0.003,181
br02_027.json,88.05,0.001,139
br02_028.json,76.96,0.002,145
br02_029.json,80.94,0.003,172
br02_030.json,89.52,0.004,200
br02_031.json,76.91,0.002,162
br02_032.json,83.84,0.002,162
br02_033.json,89.35,0.001,141
br02_034.json,85.51,0.002,172
br02_035.json,85.92,0.002,166
br02_036.json,85.15,0.001,133
br02_037.json,81.63,0.001,133
br02_038.json,85.67,0.001,141
br02_039.json,88.89,0.011,255
br02_040.json,86.61,0.001,127
br02_041.json,82.84,0.001,128
br02_042.json,75.84,0.003,173
br02_043.json,83.72,0.001,131
br02_044.json,69.88,0.001,153
br02_045.json,84.71,0.003,175
br02_046.json,82.39,0.001,130
br02_047.json,74.72,0.003,174
br02_048.json,81.85,0.002,160
br02_049.json,85.65,0.001,126
br02_050.json,86.25,0.003,172
br02_051.json,84.10,0.002,169
br02_052.json,84.09,0.001,130
br02_053.json,78.96,0.002,161
br02_054.json,76.70,0.002,162
br02_055.json,77.49,0.001,141
br02_056.json,86.72,0.004,189
br02_057.json,74.69,0.003,174
br02_058.json,81.75,0.001,139
br02_059.json,81.76,0.006,203
br02_060.json,81.04,0.001,139
br02_061.json,82.62,0.001,118
br02_062.json,75.99,0.001,136
br02_063.json,79.75,0.001,144
br02_064.json,72.08,0.001,145
br02_065.json,84.10,0.005,193
br02_066.json,84.91,0.002,156
br02_067.json,81.38,0.004,191
br02_068.json,86.64,0.002,154
br02_069.json,78.46,0.002,165
